tweet_id,retweet_count,favorite_count
871879754684805121,9839,34815
871762521631449091,3139,18748
871515927908634625,3129,18737
871166179821445120,5149,0
871102520638267392,4977,19429
871032628920680449,3438,21134
870804317367881728,5595,31283
870726314365509632,3,113
870656317836468226,2363,11467
870374049280663552,24037,77266
870308999962521604,3755,20395
870063196459192321,7523,33979
869772420881756160,9176,39672
869702957897576449,5705,26286
869596645499047938,2821,14876
869227993411051520,3419,19030
868880397819494401,13075,60911
868639477480148993,1877,0
868622495443632128,4798,24825
868552278524837888,1877,9392
867900495410671616,3805,22606
867774946302451713,6669,31717
867421006826221569,2269,15024
867072653475098625,108,0
867051520902168576,7191,30082
866720684873056260,4373,18689
866686824827068416,3166,17990
866450705531457537,32174,114283
866334964761202691,13003,48926
866094527597207552,7662,0
865718153858494464,5144,24041
865359393868664832,4569,24768
865006731092295680,7060,26248
864873206498414592,7954,30205
864279568663928832,2757,13678
864197398364647424,8082,28084
863907417377173506,3795,19331
863553081350529029,3848,14324
863471782782697472,2221,0
863432100342583297,4807,22317
863427515083354112,88,2064
863079547188785154,1021,8241
863062471531167744,2221,7920
862831371563274240,4729,18011
862722525377298433,3260,16075
862457590147678208,4523,19188
862096992088072192,21326,69689
861383897657036800,9861,33934
861288531465048066,3815,16149
861005113778896900,3526,15713
860981674716409858,1978,0
860924035999428608,733,0
860563773140209665,1978,7058
860524505164394496,4904,22293
860276583193509888,3251,17351
860184849394610176,5410,15717
860177593139703809,28602,0
859924526012018688,3812,18509
859851578198683649,3272,14578
859607811541651456,1439,17603
859196978902773760,27953,84848
859074603037188101,12670,31946
858860390427611136,7536,0
858843525470990336,3233,14772
858471635011153920,4522,20386
858107933456039936,2692,14932
857989990357356544,2415,15229
857746408056729600,9920,32466
857393404942143489,1532,5585
857263160327368704,4229,19065
857214891891077121,17,214
857062103051644929,156,0
857029823797047296,3720,17918
856543823941562368,2698,15560
856526610513747968,1764,11305
856330835276025856,627,0
856288084350160898,15,490
856282028240666624,5889,26403
855862651834028034,23,319
855860136149123072,917,4664
855857698524602368,1978,11314
855851453814013952,16995,43703
855818117272018944,5109,25439
855459453768019968,7740,28427
855245323840757760,5597,0
855138241867124737,42,0
854732716440526848,5719,21735
854482394044301312,6451,27956
854365224396361728,4436,18080
854120357044912130,7043,30636
854010172552949760,2985,15563
853760880890318849,5450,27391
853639147608842240,9474,33224
853299958564483072,3369,14868
852936405516943360,1882,0
852912242202992640,1711,8649
852672615818899456,2053,14344
852553447878664193,3296,15651
